"LOCATION"	"Country"	"VARIABLE"	"Variable"	"FREQUENCY"	"Frequency"	"TIME"	"Time"	"Unit Code"	"Unit"	"PowerCode Code"	"PowerCode"	"Reference Period Code"	"Reference Period"	"Value"	"Flag Codes"	"Flags"
"AUS"	"Australie"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2016_17"	"2016-17"	-4.98813034813566		
"AUT"	"Autriche"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2010"	"2010"	-6.20670521296688		
"BEL"	"Belgique"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2015"	"2015"	-8.92384361514149		
"CAN"	"Canada"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2012"	"2012"	-7.96978476733094		
"CZE"	"République tchèque"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2010"	"2010"	-9.58740550283853		
"DNK"	"Danemark"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2010"	"2010"	-5.78484654596337		
"FIN"	"Finlande"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2010"	"2010"	-7.87845603146406		
"FRA"	"France"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2014"	"2014"	-11.3769860364554		
"DEU"	"Allemagne"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2015"	"2015"	-6.60226105396361		
"GRC"	"Grèce"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2010"	"2010"	-7.99496411338092		
"HUN"	"Hongrie"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2005"	"2005"	-7.98658838331927		
"ISL"	"Islande"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2005"	"2005"	-9.91557266305462		
"IRL"	"Irlande"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2017"	"2017"	-6.79487297859693		
"ITA"	"Italie"	"GDPV_ANNPCT"	"Produit intérieur brut, en volume, croissance"	"A"	"Annuelle"	"2020"	"2020"	"PC"	"Pourcentage"	"0"	"Unités"	"2010"	"2010"	-11.2766663375498		
